Row Number,Level,Building Type,Building Number,Unit Code,Floor Number,Unit Type,Gross Area,Gross Area Price,Outdoor Area,Total Area,Availability,Discount Amount,Discount Percentage,Total Price,type
1,1A,Building,17,17A04,Floor,Residential,175,23000,28.5,203.5,Available,253000,5%,4427500,G4
2,1A,Building,17,17A05,Floor,Residential,194,24000,126.5,320.5,Available,2104800,27%,5587200,G5
3,1A,Building,17,17A13,First,Residential,193,26000,0,193,Available,0,0%,5018000,3
4,1A,Building,17,17A14,First,Residential,175,23000,0,175,Available,0,0%,4025000,A-4
5,1A,Building,17,17A15,First,Residential,194,24000,0,194,Available,0,0%,4656000,A-5
6,1A,Building,17,17A25,Second,Residential,194,24000,0,194,Available,0,0%,4656000,A-5
7,1A,Building,17,17A35,Third,Residential,194,24000,0,194,Available,0,0%,4656000,A-5
8,1A,Building,17,17A41,Fourth,Residential,175,26000,0,175,Available,0,0%,4550000,A-1
9,1A,Building,17,17A45,Fourth,Residential,194,24000,0,194,Available,0,0%,4656000,A-5
10,3A,Building,18,18A03,Floor,Residential,109,25000,58,167,Available,1041250,25%,3133750,G2-A
11,3A,Building,19,19A01,Floor,Residential,107,26000,151.5,258.5,Available,3382600,50%,3338400,G1-A
12,3A,Building,19,19A02,Floor,Residential,109,23000,50.8,159.8,Available,917700,25%,2757700,G2-A
13,3A,Building,19,19A03,Floor,Residential,109,24000,22.5,131.5,Available,409200,13%,2746800,G3-A
14,3A,Building,19,19A04,Floor,Residential,107,27000,100,207,Available,2122200,38%,3466800,G4-A
15,3A,Building,19,19A11,First,Residential,122,26000,0,122,Available,0,0%,3172000,1-A
16,3A,Building,19,19A12,First,Residential,109,23000,0,109,Available,0,0%,2507000,2-A
17,3A,Building,19,19A14,First,Residential,122,27000,0,122,Available,0,0%,3294000,4-A
18,3A,Building,19,19A21,Second,Residential,122,26000,0,122,Available,0,0%,3172000,1-A
19,3A,Building,19,19A22,Second,Residential,109,23000,0,109,Available,0,0%,2507000,2-A
20,3A,Building,19,19B01,Floor,Residential,107,24000,44.5,151.5,Available,811200,22%,2824800,G1-B
21,3A,Building,19,19B02,Floor,Residential,109,23000,22.7,131.7,Available,396750,13%,2632350,G2-B
22,3A,Building,19,19B03,Floor,Residential,109,23000,52,161,Available,945300,26%,2757700,G3-B
23,3A,Building,19,19B04,Floor,Residential,107,24000,100,207,Available,1886400,38%,3081600,G4-B
24,3A,Building,19,19B14,First,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
25,3A,Building,19,19B23,Second,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
26,3A,Building,19,19B24,Second,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
27,3A,Building,19,19B33,Third,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
28,3A,Building,19,19B34,Third,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
29,3A,Building,19,19B43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
30,3A,Building,19,19B44,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
31,3A,Building,20,20A01,Floor,Residential,107,24000,88.5,195.5,Available,1738800,37%,2953200,G1-A
32,3A,Building,20,20A02,Floor,Residential,109,23000,57.2,166.2,Available,1064900,28%,2757700,G2-A
33,3A,Building,20,20A04,Floor,Residential,107,24000,45,152,Available,823200,23%,2824800,G4-A
34,3A,Building,20,20A11,First,Residential,122,24000,0,122,Available,0,0%,2928000,1-A
35,3A,Building,20,20A12,First,Residential,109,23000,0,109,Available,0,0%,2507000,2-A
36,3A,Building,20,20A13,First,Residential,109,23000,0,109,Available,0,0%,2507000,3-A
37,3A,Building,20,20A21,Second,Residential,122,24000,0,122,Available,0,0%,2928000,1-A
38,3A,Building,20,20A22,Second,Residential,109,23000,0,109,Available,0,0%,2507000,2-A
39,3A,Building,20,20A23,Second,Residential,109,23000,0,109,Available,0,0%,2507000,3-A
40,3A,Building,20,20A32,Third,Residential,109,23000,0,109,Available,0,0%,2507000,2-A
41,3A,Building,20,20A33,Third,Residential,109,23000,0,109,Available,0,0%,2507000,3-A
42,3A,Building,20,20A41,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000,1-A
43,3A,Building,20,20A42,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000,2-A
44,3A,Building,20,20A43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000,3-A
45,3A,Building,20,20B01,Floor,Residential,107,24000,61.6,168.6,Available,1221600,30%,2824800,G1-B
46,3A,Building,20,20B02,Floor,Residential,109,23000,26.5,135.5,Available,484150,16%,2632350,G2-B
47,3A,Building,20,20B04,Floor,Residential,107,24000,104,211,Available,2110800,42%,2953200,G4-B
48,3A,Building,20,20B12,First,Residential,109,23000,0,109,Available,0,0%,2507000,2-B
49,3A,Building,20,20B14,First,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
50,3A,Building,20,20B22,Second,Residential,109,23000,0,109,Available,0,0%,2507000,2-B
51,3A,Building,20,20B23,Second,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
52,3A,Building,20,20B24,Second,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
53,3A,Building,20,20B33,Third,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
54,3A,Building,20,20B34,Third,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
55,3A,Building,20,20B43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
56,3A,Building,20,20B44,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
57,3A,Building,21,21A01,Floor,Residential,107,24000,110.5,217.5,Available,2266800,43%,2953200,G1-A
58,3A,Building,21,21A02,Floor,Residential,109,23000,67.8,176.8,Available,1308700,32%,2757700,G2-A
59,3A,Building,21,21A03,Floor,Residential,109,23000,34,143,Available,531300,16%,2757700,G3-A
60,3A,Building,21,21A11,First,Residential,122,24000,0,122,Available,0,0%,2928000,G1-B
61,3A,Building,21,21A12,First,Residential,109,23000,0,109,Available,0,0%,2507000,G2-B
62,3A,Building,21,21A21,Second,Residential,122,24000,0,122,Available,0,0%,2928000,G1-B
63,3A,Building,21,21A41,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000,G1-B
64,3A,Building,21,21A42,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000,G2-B
65,3A,Building,21,21B01,Floor,Residential,107,24000,75.3,182.3,Available,1422000,33%,2953200,G1-B
66,3A,Building,21,21B02,Floor,Residential,109,23000,34.5,143.5,Available,542800,16%,2757700,G2-B
67,3A,Building,21,21B03,Floor,Residential,109,23000,62,171,Available,1175300,30%,2757700,G3-B
68,3A,Building,21,21B04,Floor,Residential,107,24000,58,165,Available,1135200,29%,2824800,G4-B
69,3A,Building,21,21B12,First,Residential,109,23000,0,109,Available,0,0%,2507000,2-B
70,3A,Building,21,21B13,First,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
71,3A,Building,21,21B24,Second,Residential,122,24000,0,122,Available,0,0%,2928000,4-B
3,3A,Building,21,21B42,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000,2-B
73,3A,Building,21,21B43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000,3-B
74,1B,Building,22,22A03,Floor,Residential,192,23000,58.5,250.5,Available,683100,12%,5078400,G3-A
75,1B,Building,22,22A04,Floor,Residential,192,23000,76.5,268.5,Available,1097100,18%,5078400,G4-A
76,1B,Building,22,22A11,First,Residential,175,24000,0,175,Available,0,0%,4200000,1-A
77,1B,Building,22,22A14,First,Residential,192,23000,0,192,Available,0,0%,4416000,4-A
78,1B,Building,22,22A21,Second,Residential,175,24000,0,175,Available,0,0%,4200000,1-A
79,1B,Building,22,22A24,Second,Residential,192,23000,0,192,Available,0,0%,4416000,4-A
80,1B,Building,22,22A34,Third,Residential,192,23000,0,192,Available,0,0%,4416000,4-A
81,1B,Building,22,22A41,Fourth,Residential,175,24000,0,175,Available,0,0%,4200000,1-A
82,1B,Building,22,22A44,Fourth,Residential,192,23000,0,192,Available,0,0%,4416000,1-A
83,1B,Building,22,22B01,Floor,Residential,192,23000,48,240,Available,662400,12%,4857600,G1-B
84,1B,Building,22,22B02,Floor,Residential,192,21000,160,352,Available,2755200,37%,4636800,G2-B
85,1B,Building,22,22B04,Floor,Residential,175,24000,82,257,Available,1338000,22%,4830000,G4-B
86,1B,Building,22,22B11,First,Residential,192,23000,0,192,Available,0,0%,4416000,1-B
87,1B,Building,22,22B12,First,Residential,192,21000,0,192,Available,0,0%,4032000,2-B
88,1B,Building,22,22B13,First,Residential,171,25000,0,171,Available,0,0%,4275000,3-B
89,1B,Building,22,22B14,First,Residential,175,24000,0,175,Available,0,0%,4200000,4-B
90,1B,Building,22,22B21,Second,Residential,192,23000,0,192,Available,0,0%,4416000,1-B
91,1B,Building,22,22B23,Second,Residential,171,25000,0,171,Available,0,0%,4275000,3-B
92,1B,Building,22,22B24,Second,Residential,175,24000,0,175,Available,0,0%,4200000,4-B
93,1B,Building,22,22B31,Third,Residential,192,23000,0,192,Available,0,0%,4416000,1-B
94,1B,Building,22,22B32,Third,Residential,192,21000,0,192,Available,0,0%,4032000,2-B
95,1B,Building,22,22B34,Third,Residential,175,24000,0,175,Available,0,0%,4200000,4-B
96,1B,Building,22,22B41,Fourth,Residential,192,23000,0,192,Available,0,0%,4416000,1-B
97,1B,Building,22,22B42,Fourth,Residential,192,21000,0,192,Available,0,0%,4032000,2-B
98,1B,Building,22,22B43,Fourth,Residential,171,25000,0,171,Available,0,0%,4275000,3-B
99,V1,Villa,1,01V01,Floor,Residential,117.8,25000,0,117.8,Available,0,0%,4275000,
100,V1,Villa,2,01V02,Floor,Residential,160.5,25000,0,160.5,Available,0,0%,4275000,
101,V1,Villa,3,01V03,Floor,Residential,65.7,25000,0,65.7,Available,0,0%,4275000,
102,V2,Villa,4,02V01,Floor,Residential,140.25,25000,0,140.25,Available,0,0%,4275000,
103,V2,Villa,5,02V02,Floor,Residential,158.6,25000,0,158.6,Available,0,0%,4275000,
104,V2,Villa,6,02V03,Floor,Residential,67.8,25000,0,67.8,Available,0,0%,4275000,
105,V3,Villa,7,03V01,Floor,Residential,114.5,25000,0,114.5,Available,0,0%,4275000,
106,V3,Villa,8,03V02,Floor,Residential,120,25000,0,120,Available,0,0%,4275000,
107,V3,Villa,9,03V03,Floor,Residential,42,25000,0,42,Available,0,0%,4275000,
108,2,Building,1,02B01,Floor,Residential,175,25000,0,175,Available,0,0%,4275000,
109,2,Building,2,02B02,Floor,Residential,158,25000,0,158,Available,0,0%,4275000,
110,2,Building,3,02B03,Floor,Residential,162,25000,0,162,Available,0,0%,4275000,
111,2,Building,4,02B04,Floor,Residential,158,25000,0,158,Available,0,0%,4275000,
112,3B,Building,1,03B01,Floor,Residential,120,25000,0,120,Available,0,0%,4275000,
113,3B,Building,2,03B02,Floor,Residential,107,25000,0,107,Available,0,0%,4275000,
114,3B,Building,3,03B03,Floor,Residential,99.5,25000,0,99.5,Available,0,0%,4275000,
115,3B,Building,4,03B04,Floor,Residential,124,25000,0,124,Available,0,0%,4275000,
